organizer_id,schema_version,user_id,organizer_type,display_name,university_id,verification_status,trust_score,rating_count,is_blacklisted,blacklist_reason,created_at,updated_at
organizer-v3-029,3.0,,university,CampusMatch Kurum 29,yok-iyte,verified,3.92,43,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-030,3.0,,company,CampusMatch Kurum 30,yok-hacettepe,verified,4.83,30,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-031,3.0,student-v3-0031,student,CampusMatch Öğrenci 31,yok-hacettepe,verified,3.67,16,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-032,3.0,student-v3-0032,student,CampusMatch Öğrenci 32,yok-ankara,verified,3.81,41,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-033,3.0,student-v3-0033,student,CampusMatch Öğrenci 33,yok-ankara,verified,3.56,64,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-034,3.0,student-v3-0034,student,CampusMatch Öğrenci 34,yok-yildiz,verified,4.02,15,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-035,3.0,student-v3-0035,student,CampusMatch Öğrenci 35,yok-ankara,verified,4.18,35,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-036,3.0,student-v3-0036,student,CampusMatch Öğrenci 36,yok-yildiz,verified,4.0,0,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-037,3.0,student-v3-0037,student,CampusMatch Öğrenci 37,yok-yildiz,verified,3.72,13,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-038,3.0,student-v3-0038,student,CampusMatch Öğrenci 38,yok-bogazici,verified,3.76,79,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-039,3.0,student-v3-0039,student,CampusMatch Öğrenci 39,yok-yildiz,verified,4.03,31,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-040,3.0,student-v3-0040,student,CampusMatch Öğrenci 40,yok-ankara,verified,4.81,70,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-041,3.0,student-v3-0041,student,CampusMatch Öğrenci 41,yok-ankara,verified,3.49,13,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-042,3.0,student-v3-0042,student,CampusMatch Öğrenci 42,yok-ankara,verified,4.77,7,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-043,3.0,student-v3-0043,student,CampusMatch Öğrenci 43,yok-hacettepe,verified,3.3,65,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-044,3.0,student-v3-0044,student,CampusMatch Öğrenci 44,yok-yildiz,verified,4.0,29,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-045,3.0,student-v3-0045,student,CampusMatch Öğrenci 45,yok-hacettepe,verified,3.79,2,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-046,3.0,student-v3-0046,student,CampusMatch Öğrenci 46,yok-iyte,verified,3.69,6,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-047,3.0,student-v3-0047,student,CampusMatch Öğrenci 47,yok-yildiz,verified,4.66,50,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-048,3.0,student-v3-0048,student,CampusMatch Öğrenci 48,yok-iyte,verified,4.57,31,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-049,3.0,student-v3-0049,student,CampusMatch Öğrenci 49,yok-bogazici,verified,4.87,18,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-050,3.0,student-v3-0050,student,CampusMatch Öğrenci 50,yok-hacettepe,verified,4.03,61,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-051,3.0,student-v3-0051,student,CampusMatch Öğrenci 51,yok-itu,verified,3.61,73,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-052,3.0,student-v3-0052,student,CampusMatch Öğrenci 52,yok-bogazici,verified,4.3,72,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-053,3.0,student-v3-0053,student,CampusMatch Öğrenci 53,yok-iyte,verified,4.61,11,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-054,3.0,student-v3-0054,student,CampusMatch Öğrenci 54,yok-itu,verified,4.0,1,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-055,3.0,student-v3-0055,student,CampusMatch Öğrenci 55,yok-bogazici,verified,4.52,49,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-056,3.0,student-v3-0056,student,CampusMatch Öğrenci 56,yok-ankara,verified,3.92,74,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-057,3.0,student-v3-0057,student,CampusMatch Öğrenci 57,yok-bogazici,verified,4.94,20,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-058,3.0,student-v3-0058,student,CampusMatch Öğrenci 58,yok-ankara,verified,4.71,39,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-059,3.0,student-v3-0059,student,CampusMatch Öğrenci 59,yok-itu,verified,3.23,73,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-060,3.0,student-v3-0060,student,CampusMatch Öğrenci 60,yok-yildiz,verified,4.6,42,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-061,3.0,student-v3-0061,student,CampusMatch Öğrenci 61,yok-iyte,verified,4.57,15,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-062,3.0,student-v3-0062,student,CampusMatch Öğrenci 62,yok-yildiz,verified,3.28,21,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-063,3.0,student-v3-0063,student,CampusMatch Öğrenci 63,yok-iyte,verified,3.5,0,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-064,3.0,student-v3-0064,student,CampusMatch Öğrenci 64,yok-iyte,verified,4.9,35,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-065,3.0,student-v3-0065,student,CampusMatch Öğrenci 65,yok-ankara,verified,4.96,51,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-066,3.0,student-v3-0066,student,CampusMatch Öğrenci 66,yok-yildiz,verified,3.57,23,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-067,3.0,student-v3-0067,student,CampusMatch Öğrenci 67,yok-yildiz,verified,4.04,54,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-068,3.0,student-v3-0068,student,CampusMatch Öğrenci 68,yok-hacettepe,verified,4.89,48,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-069,3.0,student-v3-0069,student,CampusMatch Öğrenci 69,yok-itu,verified,4.9,11,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-070,3.0,student-v3-0070,student,CampusMatch Öğrenci 70,yok-bogazici,verified,4.1,52,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-071,3.0,student-v3-0071,student,CampusMatch Öğrenci 71,yok-ankara,verified,4.67,70,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-072,3.0,student-v3-0072,student,CampusMatch Öğrenci 72,yok-ankara,verified,1.5,1,true,Güven ortalaması 2.0 altında,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-073,3.0,student-v3-0073,student,CampusMatch Öğrenci 73,yok-ankara,verified,3.75,9,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-074,3.0,student-v3-0074,student,CampusMatch Öğrenci 74,yok-iyte,verified,1.2,56,true,Güven ortalaması 2.0 altında,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-075,3.0,student-v3-0075,student,CampusMatch Öğrenci 75,yok-ankara,verified,3.63,10,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-076,3.0,student-v3-0076,student,CampusMatch Öğrenci 76,yok-iyte,verified,1.25,43,true,Güven ortalaması 2.0 altında,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-077,3.0,student-v3-0077,student,CampusMatch Öğrenci 77,yok-hacettepe,verified,4.06,69,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-078,3.0,student-v3-0078,student,CampusMatch Öğrenci 78,yok-bogazici,verified,1.68,29,true,Güven ortalaması 2.0 altında,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-079,3.0,student-v3-0079,student,CampusMatch Öğrenci 79,yok-iyte,verified,4.81,13,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-080,3.0,student-v3-0080,student,CampusMatch Öğrenci 80,yok-yildiz,verified,1.79,46,true,Güven ortalaması 2.0 altında,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
