profile_id,schema_version,university_id,program_id,education_level,class_year,interest_ids,participation_goal_ids,participation_modes,fee_preference,language_preference
77,2.0,yok-hacettepe,psychology,bachelor,2,languages;graphic-design;engineering;game-development;social-sciences,network;learn,hybrid,paid_ok,tr
78,2.0,yok-yildiz,industrial-engineering,bachelor,4,wellbeing;cybersecurity;languages,social-impact;career;learn,onsite;online,paid_ok,no_preference
79,2.0,yok-bogazici,computer-engineering,bachelor,1,social-responsibility;mobile-development;mental-health;sports,network,online;hybrid,no_preference,no_preference
80,2.0,yok-hacettepe,medicine,bachelor,3,graphic-design;social-responsibility;travel;ai,learn;compete,onsite;hybrid,free_only,no_preference
81,2.0,yok-itu,psychology,bachelor,3,natural-sciences;languages;travel;music;sustainability;cybersecurity;career;nutrition,social-impact,onsite,paid_ok,en
82,2.0,yok-itu,graphic-design,bachelor,4,entrepreneurship;languages;cybersecurity;wellbeing;game-development;social-responsibility;finance,social-impact;compete,hybrid,paid_ok,en
83,2.0,yok-hacettepe,graphic-design,bachelor,1,photography;engineering;ui-ux;mental-health,social-impact,onsite;hybrid,free_only,tr
84,2.0,yok-ankara,psychology,bachelor,3,languages;volunteering;photography;sustainability;nutrition,network;career,onsite;hybrid,no_preference,tr
85,2.0,yok-iyte,computer-engineering,bachelor,3,wellbeing;sports;mental-health;music;international-community;natural-sciences;finance,compete,onsite,free_only,tr
86,2.0,yok-yildiz,medicine,bachelor,3,social-sciences;sports;photography;finance;ai;wellbeing;health-sciences,social-impact;compete;network,online,paid_ok,en
87,2.0,yok-bogazici,psychology,bachelor,1,ai;wellbeing;languages;culture;data-science;social-sciences;photography;finance,compete;social-impact,hybrid,paid_ok,tr
88,2.0,yok-bogazici,business,bachelor,1,volunteering;entrepreneurship;music;nutrition;theatre;health-sciences,learn;career;build-project,hybrid,paid_ok,no_preference
89,2.0,yok-hacettepe,graphic-design,bachelor,3,career;theatre;natural-sciences;mobile-development;languages;wellbeing;entrepreneurship;volunteering,social-impact;compete;network,hybrid;online,no_preference,tr
90,2.0,yok-itu,medicine,bachelor,3,sustainability;web-development;game-development;music;engineering;finance,network;build-project,online,free_only,no_preference
91,2.0,yok-hacettepe,industrial-engineering,bachelor,1,social-sciences;international-community;health-sciences;finance;ui-ux;languages,social-impact;learn;network,hybrid,no_preference,tr
92,2.0,yok-yildiz,industrial-engineering,bachelor,4,natural-sciences;travel;entrepreneurship;social-responsibility;product,learn;compete,online;onsite,no_preference,en
93,2.0,yok-yildiz,industrial-engineering,bachelor,1,data-science;ai;sustainability,learn;compete,online;onsite,free_only,en
94,2.0,yok-ankara,medicine,bachelor,2,ui-ux;social-sciences;wellbeing;career;finance;game-development;mobile-development;cybersecurity,network,hybrid,paid_ok,en
95,2.0,yok-yildiz,graphic-design,bachelor,4,web-development;mobile-development;natural-sciences,build-project;learn;social-impact,online;hybrid,paid_ok,no_preference
96,2.0,yok-iyte,industrial-engineering,bachelor,4,data-science;languages;wellbeing;game-development;social-responsibility;ui-ux;career,network,onsite,paid_ok,no_preference
97,2.0,yok-bogazici,industrial-engineering,bachelor,1,ui-ux;health-sciences;photography;mobile-development;wellbeing,social-impact;career,onsite,no_preference,tr
98,2.0,yok-hacettepe,medicine,bachelor,2,product;finance;graphic-design;nutrition;engineering;culture,network;social-impact;build-project,onsite;online,free_only,en
99,2.0,yok-hacettepe,industrial-engineering,bachelor,4,sustainability;volunteering;natural-sciences,build-project,online,no_preference,en
100,2.0,yok-iyte,graphic-design,bachelor,3,languages;nutrition;social-responsibility;culture;web-development;cybersecurity;natural-sciences;music,network,onsite;hybrid,paid_ok,tr
101,2.0,yok-bogazici,medicine,bachelor,1,mobile-development;volunteering;game-development,network;learn,hybrid,paid_ok,tr
102,2.0,yok-bogazici,industrial-engineering,bachelor,1,sports;mobile-development;wellbeing;web-development;graphic-design,compete;learn,onsite;online,paid_ok,no_preference
103,2.0,yok-itu,graphic-design,bachelor,4,theatre;social-sciences;international-community,learn;career;network,onsite;online,paid_ok,en
104,2.0,yok-hacettepe,computer-engineering,bachelor,1,finance;natural-sciences;game-development,social-impact;network,hybrid,no_preference,tr
105,2.0,yok-hacettepe,psychology,bachelor,2,photography;social-responsibility;product;ai,career;network;social-impact,online,no_preference,tr
106,2.0,yok-iyte,business,bachelor,4,sustainability;web-development;career;ui-ux;ai;engineering,build-project;career;learn,onsite;hybrid,free_only,en
107,2.0,yok-ankara,graphic-design,bachelor,1,game-development;ai;career;sustainability;theatre,network,hybrid,free_only,tr
108,2.0,yok-ankara,graphic-design,bachelor,3,entrepreneurship;health-sciences;web-development;engineering;photography;data-science;culture,career;network,online;hybrid,free_only,no_preference
109,2.0,yok-ankara,medicine,bachelor,6,music;engineering;social-responsibility;mobile-development;ai;volunteering;sustainability;international-community,career,onsite;hybrid,paid_ok,en
110,2.0,yok-itu,industrial-engineering,bachelor,2,sustainability;product;nutrition;data-science;music,network;social-impact;compete,online;hybrid,no_preference,tr
111,2.0,yok-hacettepe,business,bachelor,3,languages;music;cybersecurity;product;data-science;sports;entrepreneurship,learn;compete;build-project,onsite;online,free_only,en
112,2.0,yok-hacettepe,business,bachelor,1,engineering;languages;career;volunteering;music;ui-ux,social-impact,onsite;online,paid_ok,tr
113,2.0,yok-yildiz,medicine,bachelor,4,game-development;ui-ux;cybersecurity;international-community;volunteering;photography;data-science;social-sciences,compete;career;build-project,onsite,no_preference,no_preference
114,2.0,yok-hacettepe,medicine,bachelor,5,finance;mobile-development;social-responsibility;theatre;sports;natural-sciences,learn;career,online,free_only,tr
115,2.0,yok-yildiz,computer-engineering,bachelor,1,web-development;culture;game-development;cybersecurity;product,compete,online,paid_ok,en
116,2.0,yok-ankara,industrial-engineering,bachelor,1,music;travel;culture;finance;data-science;game-development,compete;network;career,online;hybrid,free_only,tr
117,2.0,yok-itu,medicine,bachelor,4,volunteering;game-development;wellbeing;mobile-development;music,career;compete,hybrid,no_preference,no_preference
118,2.0,yok-itu,business,bachelor,3,nutrition;finance;engineering,learn;build-project,online;hybrid,no_preference,en
119,2.0,yok-bogazici,medicine,bachelor,4,career;mental-health;finance;entrepreneurship,career;compete;social-impact,online;onsite,free_only,tr
120,2.0,yok-bogazici,medicine,bachelor,2,entrepreneurship;nutrition;sustainability;career;ui-ux;sports,social-impact,hybrid,free_only,en
121,2.0,yok-ankara,medicine,bachelor,2,theatre;photography;finance;nutrition;culture;graphic-design;social-sciences;career,network,onsite,no_preference,tr
122,2.0,yok-bogazici,industrial-engineering,bachelor,4,volunteering;web-development;international-community;graphic-design;nutrition;photography;finance,network;social-impact,hybrid,no_preference,en
123,2.0,yok-ankara,graphic-design,bachelor,4,nutrition;product;mental-health;data-science;languages;travel,social-impact;network,onsite,free_only,en
124,2.0,yok-ankara,graphic-design,bachelor,3,career;product;web-development;international-community;ai;mobile-development;wellbeing,career;social-impact;build-project,onsite;hybrid,free_only,tr
125,2.0,yok-itu,graphic-design,bachelor,1,social-sciences;ui-ux;wellbeing;international-community,social-impact,onsite;online,free_only,no_preference
126,2.0,yok-ankara,business,bachelor,2,graphic-design;languages;game-development;web-development;wellbeing;nutrition;ai,compete;career;learn,online,no_preference,no_preference
127,2.0,yok-yildiz,psychology,bachelor,1,photography;finance;volunteering;engineering;theatre;mental-health;cybersecurity;ui-ux,social-impact;build-project,onsite,free_only,tr
128,2.0,yok-bogazici,business,bachelor,1,travel;languages;sports,career;network,onsite;hybrid,paid_ok,no_preference
129,2.0,yok-hacettepe,psychology,bachelor,3,sustainability;cybersecurity;web-development,network,onsite;online,no_preference,no_preference
130,2.0,yok-ankara,graphic-design,bachelor,1,mental-health;social-sciences;web-development;theatre;mobile-development;data-science;wellbeing;international-community,network;build-project;compete,onsite;hybrid,no_preference,en
131,2.0,yok-yildiz,industrial-engineering,bachelor,4,engineering;mobile-development;wellbeing;international-community;languages;entrepreneurship;social-responsibility;career,network,hybrid,no_preference,no_preference
132,2.0,yok-ankara,industrial-engineering,bachelor,3,volunteering;entrepreneurship;sustainability;music;natural-sciences;sports,social-impact;network,hybrid;onsite,no_preference,no_preference
133,2.0,yok-hacettepe,computer-engineering,bachelor,3,languages;engineering;wellbeing,build-project;learn,online,free_only,no_preference
134,2.0,yok-yildiz,graphic-design,bachelor,1,social-sciences;cybersecurity;social-responsibility;ui-ux;sustainability;travel;career,career;network;learn,online,no_preference,en
135,2.0,yok-yildiz,graphic-design,bachelor,1,career;cybersecurity;wellbeing;web-development;engineering;ui-ux;photography;sustainability,build-project;compete;career,hybrid,free_only,en
136,2.0,yok-yildiz,medicine,bachelor,5,volunteering;engineering;natural-sciences;photography;international-community;data-science,network;learn,onsite;online,no_preference,en
137,2.0,yok-yildiz,graphic-design,bachelor,4,travel;graphic-design;entrepreneurship;ui-ux;cybersecurity;international-community;social-responsibility;mobile-development,career,hybrid;onsite,no_preference,no_preference
138,2.0,yok-ankara,computer-engineering,bachelor,4,theatre;career;culture;international-community;ai;mobile-development,social-impact;career;compete,onsite,free_only,no_preference
139,2.0,yok-iyte,computer-engineering,bachelor,2,entrepreneurship;mental-health;music;sustainability,network;social-impact,online;onsite,no_preference,tr
140,2.0,yok-itu,industrial-engineering,bachelor,4,game-development;mental-health;ui-ux;photography;cybersecurity,compete;career;social-impact,hybrid,paid_ok,en
141,2.0,yok-bogazici,psychology,bachelor,2,languages;sports;product;mental-health;theatre;social-sciences,build-project;career;learn,online,paid_ok,tr
142,2.0,yok-iyte,business,bachelor,3,graphic-design;engineering;sports,career,hybrid;onsite,no_preference,en
143,2.0,yok-yildiz,graphic-design,bachelor,2,ui-ux;mental-health;languages;health-sciences;finance;wellbeing;social-sciences;theatre,build-project,online,no_preference,tr
144,2.0,yok-itu,graphic-design,bachelor,4,entrepreneurship;web-development;data-science;photography,career;compete,online,paid_ok,tr
145,2.0,yok-yildiz,business,bachelor,2,entrepreneurship;health-sciences;ai;wellbeing;sports;natural-sciences;social-responsibility,network,onsite,paid_ok,no_preference
146,2.0,yok-ankara,psychology,bachelor,4,international-community;languages;travel;data-science;entrepreneurship;sustainability;mental-health,learn;career;social-impact,onsite;online,paid_ok,tr
147,2.0,yok-yildiz,business,bachelor,1,career;mobile-development;graphic-design;finance,compete;network;career,hybrid,free_only,en
148,2.0,yok-hacettepe,graphic-design,bachelor,1,data-science;sustainability;nutrition;theatre;languages,network,hybrid,free_only,tr
149,2.0,yok-ankara,computer-engineering,bachelor,3,sustainability;theatre;nutrition,social-impact;career,onsite;online,paid_ok,en
150,2.0,yok-iyte,business,bachelor,4,web-development;mobile-development;travel;career;cybersecurity,build-project,onsite;online,paid_ok,tr
151,2.0,yok-hacettepe,industrial-engineering,bachelor,3,finance;international-community;volunteering;culture;sustainability;engineering,career,online,free_only,no_preference
152,2.0,yok-bogazici,medicine,bachelor,4,mobile-development;career;theatre;social-sciences;web-development;volunteering;data-science,build-project;social-impact,online;onsite,free_only,tr
153,2.0,yok-hacettepe,computer-engineering,bachelor,1,cybersecurity;game-development;sustainability,network,hybrid,free_only,no_preference
154,2.0,yok-yildiz,graphic-design,bachelor,3,social-responsibility;ui-ux;entrepreneurship;sustainability;social-sciences,career;network;compete,online;onsite,free_only,no_preference
155,2.0,yok-hacettepe,computer-engineering,bachelor,2,social-sciences;ai;natural-sciences;graphic-design;data-science;international-community;nutrition;sports,learn;social-impact,onsite;online,free_only,tr
156,2.0,yok-yildiz,industrial-engineering,bachelor,1,sports;career;travel;social-sciences;ai,learn,online;hybrid,no_preference,tr
157,2.0,yok-ankara,medicine,bachelor,1,wellbeing;travel;ai;music;international-community,learn;social-impact,onsite;hybrid,free_only,en
158,2.0,yok-ankara,psychology,bachelor,1,nutrition;culture;game-development,social-impact,hybrid;onsite,paid_ok,no_preference
159,2.0,yok-ankara,graphic-design,bachelor,1,nutrition;mobile-development;cybersecurity;theatre;product,compete,onsite;online,no_preference,en
160,2.0,yok-bogazici,business,bachelor,3,cybersecurity;social-responsibility;social-sciences;languages;volunteering;theatre,network;career;build-project,onsite,paid_ok,no_preference
161,2.0,yok-bogazici,medicine,bachelor,3,cybersecurity;sustainability;sports;ui-ux;volunteering,build-project;social-impact;learn,onsite;online,free_only,en
162,2.0,yok-itu,psychology,bachelor,1,finance;mental-health;social-responsibility;wellbeing;nutrition,social-impact;network;build-project,hybrid;onsite,no_preference,tr
163,2.0,yok-bogazici,industrial-engineering,bachelor,1,photography;graphic-design;nutrition;entrepreneurship;mobile-development,learn;compete,onsite;online,free_only,no_preference
164,2.0,yok-yildiz,industrial-engineering,bachelor,4,languages;music;natural-sciences,build-project;social-impact;career,onsite,no_preference,no_preference
165,2.0,yok-iyte,psychology,bachelor,4,ai;nutrition;graphic-design;volunteering;wellbeing;product;languages,learn,hybrid;onsite,paid_ok,tr
166,2.0,yok-yildiz,psychology,bachelor,1,ui-ux;volunteering;wellbeing;career,social-impact;network;career,onsite,no_preference,en
167,2.0,yok-hacettepe,industrial-engineering,bachelor,3,theatre;wellbeing;cybersecurity,career;social-impact,onsite;online,free_only,no_preference
168,2.0,yok-yildiz,graphic-design,bachelor,4,culture;engineering;mental-health;sports;music;volunteering;sustainability;ui-ux,network;career;build-project,online,paid_ok,no_preference
169,2.0,yok-hacettepe,business,bachelor,4,languages;travel;sustainability;social-responsibility;mental-health;cybersecurity;ui-ux,network;career;social-impact,online,paid_ok,en
170,2.0,yok-itu,computer-engineering,bachelor,3,social-responsibility;entrepreneurship;web-development;game-development;sustainability;nutrition;photography;ui-ux,learn;career;network,hybrid;online,no_preference,no_preference
171,2.0,yok-ankara,graphic-design,bachelor,2,travel;mental-health;web-development;career,learn;career,hybrid,no_preference,en
172,2.0,yok-iyte,graphic-design,bachelor,1,social-responsibility;engineering;health-sciences;finance;wellbeing;game-development;nutrition,network;build-project;learn,onsite;hybrid,free_only,no_preference
173,2.0,yok-ankara,industrial-engineering,bachelor,1,mobile-development;ui-ux;career;languages;natural-sciences;game-development;entrepreneurship,build-project,online,no_preference,en
174,2.0,yok-ankara,medicine,bachelor,3,wellbeing;data-science;nutrition,learn;social-impact,hybrid;onsite,paid_ok,no_preference
175,2.0,yok-itu,graphic-design,bachelor,2,international-community;culture;product;entrepreneurship;career;game-development;graphic-design,compete;career;build-project,onsite;online,no_preference,tr
176,2.0,yok-bogazici,psychology,bachelor,3,product;health-sciences;languages;ui-ux;photography;web-development;career,network;compete,online,free_only,no_preference
177,2.0,yok-hacettepe,industrial-engineering,bachelor,2,sports;international-community;finance;social-sciences;game-development;ui-ux,compete;build-project,online;hybrid,no_preference,no_preference
178,2.0,yok-itu,psychology,bachelor,4,mental-health;graphic-design;travel;volunteering;photography,social-impact,online,no_preference,no_preference
179,2.0,yok-ankara,business,bachelor,4,international-community;product;wellbeing,build-project,hybrid,no_preference,no_preference
180,2.0,yok-ankara,graphic-design,bachelor,3,game-development;mobile-development;web-development;music,social-impact;compete;career,onsite,paid_ok,tr
181,2.0,yok-iyte,computer-engineering,bachelor,4,languages;nutrition;data-science;sports;ai;graphic-design;game-development,career;social-impact;learn,online;hybrid,no_preference,en
182,2.0,yok-iyte,business,bachelor,1,game-development;volunteering;product;health-sciences;finance;entrepreneurship;data-science;sustainability,build-project;network,online;onsite,no_preference,en
183,2.0,yok-hacettepe,graphic-design,bachelor,3,theatre;social-sciences;languages;sustainability,career;learn;network,online;hybrid,no_preference,no_preference
184,2.0,yok-iyte,medicine,bachelor,1,nutrition;sports;theatre;finance;career,build-project;compete;social-impact,hybrid,no_preference,no_preference
185,2.0,yok-itu,medicine,bachelor,1,travel;international-community;game-development;wellbeing;ai;nutrition,learn,online;hybrid,no_preference,no_preference
186,2.0,yok-hacettepe,computer-engineering,bachelor,3,data-science;natural-sciences;wellbeing;photography,build-project,hybrid;online,free_only,tr
187,2.0,yok-bogazici,graphic-design,bachelor,4,natural-sciences;theatre;nutrition;data-science;graphic-design;photography;finance;product,learn;build-project,hybrid;onsite,free_only,tr
188,2.0,yok-yildiz,medicine,bachelor,4,data-science;sports;finance;social-responsibility;ai;international-community;mental-health;music,social-impact;network;learn,onsite,paid_ok,en
189,2.0,yok-yildiz,medicine,bachelor,3,social-sciences;career;languages;sustainability;mobile-development;graphic-design;social-responsibility,compete;career,onsite;hybrid,paid_ok,no_preference
190,2.0,yok-itu,medicine,bachelor,3,social-sciences;career;ui-ux;ai;music;mental-health;volunteering;product,compete,online,paid_ok,tr
191,2.0,yok-ankara,medicine,bachelor,2,social-sciences;career;data-science;ui-ux,build-project,hybrid,no_preference,no_preference
192,2.0,yok-yildiz,computer-engineering,bachelor,2,engineering;international-community;social-sciences;mobile-development,build-project;compete,onsite;online,paid_ok,tr
193,2.0,yok-yildiz,computer-engineering,bachelor,1,social-sciences;engineering;travel,social-impact;network,hybrid;onsite,no_preference,tr
194,2.0,yok-yildiz,psychology,bachelor,4,health-sciences;social-sciences;career,career;compete;network,online,free_only,tr
195,2.0,yok-hacettepe,psychology,bachelor,2,web-development;game-development;international-community;social-responsibility;sustainability;product,learn;career;social-impact,online,free_only,no_preference
196,2.0,yok-yildiz,graphic-design,bachelor,3,photography;mobile-development;ai;natural-sciences;product,compete,onsite,free_only,en
