interaction_id,profile_id,event_id,action,dwell_time_seconds,interest_overlap_count,goal_overlap_count
168,676,104,skip,4,0,1
169,739,108,save,82,0,0
170,838,261,skip,4,0,0
171,353,142,apply,32,0,1
172,677,65,skip,2,1,1
173,927,62,view_detail,28,0,1
174,18,206,skip,5,0,1
175,520,342,skip,5,0,0
176,973,410,like,86,0,0
177,313,357,skip,2,0,2
178,606,172,like,36,0,1
179,352,366,like,67,0,1
180,648,160,skip,2,0,1
181,615,134,view_detail,44,0,1
182,945,461,like,63,0,2
183,349,492,skip,2,0,0
184,272,159,view_detail,71,0,0
185,360,452,skip,2,0,1
186,204,308,view_detail,60,0,1
187,75,483,save,71,1,1
188,596,293,skip,4,0,0
189,302,383,skip,4,0,1
190,900,405,like,21,0,1
191,862,442,skip,4,0,2
192,438,424,skip,3,0,0
193,305,62,skip,5,0,0
194,195,277,skip,2,1,0
195,356,390,save,62,1,0
196,491,497,skip,5,0,0
197,507,239,skip,5,0,1
198,162,140,save,56,1,2
199,726,75,skip,4,1,1
200,401,297,view_detail,19,0,1
201,449,140,skip,4,0,1
202,944,259,skip,2,1,1
203,917,392,skip,2,1,1
204,12,113,skip,5,0,0
205,343,316,apply,75,0,1
206,553,325,view_detail,73,1,2
207,587,289,view_detail,16,0,2
208,226,185,skip,1,1,0
209,43,331,view_detail,55,1,2
210,29,391,like,27,0,0
211,601,31,apply,52,0,2
212,96,56,view_detail,62,0,1
213,722,432,view_detail,20,0,1
214,241,259,skip,3,1,0
215,246,169,skip,3,0,1
216,550,91,apply,67,0,0
217,342,214,view_detail,85,0,1
218,23,121,skip,2,0,0
219,577,325,skip,3,0,0
220,190,397,view_detail,76,0,0
221,962,463,like,51,1,0
222,684,218,save,21,1,1
223,425,472,apply,6,0,1
224,25,56,view_detail,56,1,0
225,415,252,view_detail,8,0,1
226,945,396,like,21,1,2
227,160,335,view_detail,80,0,2
228,606,271,skip,2,1,0
229,824,462,view_detail,59,0,0
230,952,152,save,77,0,1
231,56,418,view_detail,32,0,1
232,39,16,skip,5,0,2
233,704,207,skip,2,1,1
234,331,371,skip,3,0,1
235,409,66,like,81,2,2
236,875,65,skip,1,0,0
237,168,219,skip,4,0,3
238,154,362,save,89,2,1
239,252,100,skip,2,1,1
240,17,475,skip,4,1,1
241,866,332,like,70,0,1
242,677,422,like,34,1,0
243,138,68,save,69,1,2
244,807,348,skip,5,0,0
245,786,358,skip,2,1,1
246,530,383,skip,2,0,0
247,626,307,like,81,0,0
248,295,333,save,48,0,1
249,47,146,skip,2,0,0
250,267,372,apply,30,0,1
251,223,365,skip,3,1,1
252,82,55,apply,42,1,0
253,396,264,skip,4,0,3
254,830,220,save,45,0,1
255,701,204,like,25,0,0
256,484,140,like,79,1,1
257,344,275,like,80,1,0
258,864,125,view_detail,81,0,0
259,867,460,skip,4,0,1
260,261,126,view_detail,15,0,0
261,316,145,skip,1,2,0
262,912,496,view_detail,59,0,1
263,310,9,save,35,1,0
264,437,93,like,81,0,1
265,408,191,apply,82,1,1
266,975,477,save,85,1,0
267,283,407,like,35,0,0
268,603,370,view_detail,54,0,0
269,907,282,save,81,0,1
270,959,22,apply,89,1,0
271,690,149,view_detail,57,1,1
272,376,358,skip,3,0,0
273,471,316,view_detail,78,0,1
274,919,147,view_detail,22,0,0
275,611,486,skip,1,0,0
276,118,13,view_detail,70,0,1
277,433,68,like,67,1,0
278,225,241,skip,2,1,1
279,490,472,view_detail,69,1,2
280,232,325,skip,2,0,1
281,875,407,like,22,1,0
282,867,490,view_detail,17,0,2
283,572,86,skip,1,0,0
284,1000,338,skip,3,1,1
285,990,286,skip,5,1,0
286,886,71,skip,4,0,0
287,199,56,skip,1,1,0
288,605,304,skip,5,0,1
289,586,10,like,24,1,0
290,281,294,skip,1,0,0
291,832,152,skip,1,0,0
292,521,313,skip,5,1,0
293,624,386,save,19,0,1
294,903,455,save,41,0,0
295,119,113,skip,5,0,1
296,391,461,view_detail,22,0,0
297,153,205,view_detail,81,0,1
298,974,339,skip,4,0,0
299,11,253,skip,4,1,0
300,921,163,skip,1,1,1
301,15,499,save,40,1,0
302,812,56,view_detail,19,0,1
303,537,244,skip,4,1,1
304,542,500,view_detail,85,0,1
305,264,467,view_detail,67,0,0
306,528,247,skip,4,1,1
307,954,412,view_detail,66,1,1
308,427,89,skip,4,0,0
309,522,143,view_detail,48,0,0
310,819,343,apply,55,1,1
311,989,161,like,32,0,2
312,173,490,skip,1,0,0
313,13,81,save,22,0,1
314,620,328,save,62,0,1
315,765,208,save,52,0,0
316,671,334,view_detail,43,0,0
317,224,268,view_detail,31,0,1
318,741,121,skip,3,0,2
319,64,19,like,22,0,0
320,605,451,save,43,0,0
321,932,282,skip,3,0,1
322,217,76,apply,59,0,3
323,768,82,skip,4,1,1
324,369,193,save,17,2,1
325,778,90,skip,1,2,1
326,23,351,apply,76,0,2
327,591,246,skip,5,0,1
328,935,252,view_detail,57,0,0
329,718,283,apply,15,1,1
330,497,16,skip,2,1,1
331,957,4,view_detail,88,1,1
332,976,366,skip,2,0,1
333,163,369,view_detail,42,1,1
334,452,61,skip,1,0,1
335,952,192,skip,2,1,1
336,424,205,like,7,0,1
337,82,198,view_detail,54,1,0
338,841,456,skip,1,0,0
339,82,106,save,44,0,1
340,544,499,skip,2,0,1
341,54,369,skip,3,1,1
342,373,164,view_detail,44,1,0
343,788,62,skip,5,0,1
344,139,153,save,54,0,1
345,937,337,skip,2,0,0
346,821,321,like,73,0,1
347,299,239,skip,2,0,0
348,329,110,skip,1,2,1
349,746,197,view_detail,40,1,0
350,827,53,view_detail,21,0,1
351,694,467,view_detail,66,0,1
352,641,198,view_detail,53,0,0
353,181,97,skip,5,0,1
354,288,365,like,33,0,0
355,282,496,save,11,0,1
356,819,92,skip,1,0,0
357,884,396,skip,2,0,0
358,684,458,view_detail,78,1,1
359,205,75,skip,5,1,1
360,310,209,skip,1,0,1
361,329,5,save,55,0,0
362,494,235,skip,2,0,0
363,57,352,view_detail,44,0,0
364,848,106,save,63,1,1
365,888,96,view_detail,61,0,0
366,703,370,skip,3,1,1
367,953,198,skip,4,0,0
368,193,144,skip,2,1,0
369,91,160,skip,3,1,2
370,860,401,like,25,1,0
371,434,12,skip,5,0,0
372,556,466,view_detail,50,0,0
373,772,257,like,27,1,1
374,821,266,skip,3,0,0
375,188,73,apply,32,0,2
376,821,299,skip,2,1,0
377,930,465,skip,3,0,1
378,9,87,skip,2,0,1
379,459,75,save,70,0,0
380,489,429,skip,2,0,2
381,919,102,skip,5,0,0
382,276,272,skip,2,0,0
383,767,219,view_detail,15,1,2
384,378,46,skip,1,0,0
385,701,313,skip,1,0,0
386,305,345,save,85,0,1
387,134,117,view_detail,38,0,1
388,446,17,view_detail,77,0,2
389,128,230,save,57,0,0
390,541,316,skip,4,0,0
391,490,448,view_detail,58,0,1
392,269,20,skip,2,1,0
393,729,494,skip,1,0,1
394,717,204,skip,5,1,1
395,256,142,skip,1,0,2
396,531,170,skip,1,0,1
397,83,120,skip,5,0,0
398,377,156,apply,81,0,1
399,474,449,save,33,0,0
400,55,298,skip,3,1,1
401,275,314,skip,2,0,2
402,614,132,save,67,1,1
403,563,365,save,74,1,0
404,202,83,skip,1,0,1
405,525,259,skip,2,0,1
406,788,262,skip,1,0,1
407,145,65,apply,29,0,0
408,587,178,view_detail,44,1,1
409,432,62,skip,1,1,1
410,109,202,save,42,0,0
411,586,472,like,46,0,2
412,225,87,skip,3,0,0
413,766,394,skip,5,1,1
414,161,416,like,16,2,2
415,250,196,skip,4,0,0
416,523,164,skip,5,1,1
417,439,351,view_detail,75,0,0
418,532,32,skip,3,0,0
419,841,487,apply,19,1,2
420,806,288,skip,3,1,0
421,709,327,skip,3,0,0
422,534,41,view_detail,36,0,1
423,724,26,like,80,1,1
424,982,145,skip,4,1,0
425,215,291,skip,4,0,0
426,221,158,save,55,1,0
427,384,56,skip,4,1,0
428,753,412,skip,1,0,0
429,517,26,like,8,1,1
430,888,18,save,22,0,2
431,673,491,skip,3,0,0
432,973,348,view_detail,87,1,1
433,109,62,skip,2,3,0
434,313,191,view_detail,74,0,0
435,420,444,skip,2,1,2
436,905,251,view_detail,89,1,0
437,774,126,skip,1,0,1
438,572,158,like,61,2,0
439,282,500,skip,2,0,0
440,518,225,skip,5,0,0
441,478,41,save,48,0,1
442,213,488,like,83,0,1
443,349,428,skip,5,0,1
444,451,416,view_detail,19,0,2
445,697,418,skip,4,0,1
446,304,232,skip,1,0,0
447,682,489,skip,4,1,0
448,813,383,view_detail,38,0,1
449,275,484,skip,1,0,1
450,74,409,skip,2,0,1
451,239,371,view_detail,67,0,1
452,291,361,view_detail,85,1,1
453,396,291,like,50,0,0
454,850,271,skip,2,3,0
455,813,278,like,39,0,0
456,54,381,skip,2,1,1
457,96,235,apply,11,1,0
458,86,254,like,33,1,0
459,272,375,skip,1,1,1
460,185,239,view_detail,49,1,0
461,516,276,skip,1,0,0
462,131,239,skip,2,1,1
463,61,83,skip,2,0,0
464,753,299,like,86,0,2
465,405,96,view_detail,70,0,2
466,356,145,like,78,0,0
467,746,15,skip,1,0,2
468,674,219,like,81,1,2
469,874,30,skip,5,0,1
470,61,291,skip,4,0,1
471,849,356,view_detail,7,1,0
472,281,125,like,39,0,0
473,905,224,view_detail,37,1,0
474,422,437,skip,2,0,0
475,398,103,save,32,0,0
476,405,310,like,64,1,2
477,872,403,view_detail,85,0,1
478,422,72,skip,2,0,1
479,742,322,view_detail,60,0,0
480,137,63,like,28,2,1
481,415,80,skip,5,0,0
482,117,353,view_detail,53,1,1
483,685,415,view_detail,52,0,0
484,434,249,view_detail,18,0,0
485,476,316,skip,3,0,0
486,302,189,skip,2,1,0
487,688,264,skip,1,1,1
488,43,474,skip,4,0,1
489,974,223,save,8,1,1
490,19,217,like,61,1,1
491,582,210,skip,3,0,1
492,660,90,skip,2,1,1
493,870,202,skip,3,0,0
494,766,200,skip,1,0,2
495,125,141,view_detail,11,0,0
496,710,213,view_detail,40,0,0
497,223,160,apply,76,1,1
498,520,466,skip,4,0,0
499,960,133,view_detail,22,1,1
500,528,396,skip,1,2,1
501,637,297,skip,2,0,2
502,123,437,skip,2,0,0
503,320,83,skip,5,0,0
504,910,94,skip,2,1,1
505,845,437,skip,1,0,0
506,690,398,skip,2,1,1
507,434,342,skip,3,0,0
508,941,111,view_detail,80,0,2
509,19,328,skip,2,0,0
510,867,293,apply,77,0,1
511,170,234,skip,1,1,1
512,533,136,save,20,0,0
513,198,456,view_detail,13,1,2
514,142,206,view_detail,13,0,0
515,79,172,like,39,1,1
516,773,282,view_detail,57,1,0
517,843,350,skip,1,1,0
518,179,402,view_detail,11,0,0
519,949,29,view_detail,49,0,0
520,842,481,view_detail,80,0,0
521,750,94,skip,2,1,0
522,784,484,skip,2,1,2
523,201,248,skip,4,0,1
524,603,479,skip,5,0,0
525,227,150,skip,5,1,1
526,978,172,save,15,0,1
527,71,98,view_detail,71,0,1
528,320,236,skip,2,0,1
529,577,439,view_detail,65,1,0
530,737,457,save,23,0,0
531,537,253,skip,5,0,1
532,545,68,skip,3,1,1
533,430,104,apply,78,1,1
534,741,280,save,39,0,1
535,999,487,skip,3,0,1
536,326,310,skip,1,0,0
537,30,246,skip,5,1,0
538,361,50,view_detail,30,0,0
539,460,62,skip,5,0,1
540,44,171,skip,5,0,1
541,913,350,skip,1,0,0
542,87,401,skip,5,0,1
543,610,68,view_detail,30,0,1
544,457,279,like,24,0,1
545,304,347,skip,3,0,1
546,552,180,skip,4,0,0
547,874,86,skip,5,0,1
548,96,117,skip,3,1,0
549,849,413,apply,45,2,1
550,495,153,save,23,0,1
551,834,119,skip,5,1,1
552,975,239,view_detail,88,1,1
553,528,277,skip,4,1,0
554,56,296,skip,3,0,0
555,731,334,skip,3,0,0
556,19,255,skip,3,0,0
557,985,244,apply,69,1,0
558,186,351,view_detail,16,0,0
559,171,129,save,89,0,0
560,60,469,like,75,1,2
561,234,138,skip,3,0,0
562,119,340,skip,3,0,2
563,554,208,like,83,0,1
564,437,356,skip,1,0,1
565,710,441,skip,2,1,1
566,287,19,apply,86,2,1
567,814,47,like,9,0,0
568,582,442,save,67,2,2
569,467,184,save,52,0,0
570,380,369,skip,1,0,0
571,189,156,skip,1,1,0
572,395,54,apply,44,0,0
573,974,106,skip,3,0,1
574,790,183,like,39,0,2
575,188,96,view_detail,25,1,2
576,646,150,save,56,1,1
577,514,177,view_detail,67,0,0
578,592,447,view_detail,33,0,0
579,385,144,save,70,0,0
580,821,385,skip,2,0,0
581,787,155,view_detail,36,0,1
582,817,143,skip,4,0,1
583,264,207,save,46,1,1
584,66,426,skip,2,0,1
585,62,17,skip,5,0,0
586,543,261,save,51,0,0
587,931,377,skip,1,0,2
588,557,373,skip,2,0,0
589,762,325,view_detail,77,1,1
590,214,429,like,83,0,0
591,370,27,save,75,0,1
592,468,34,save,14,1,2
593,604,419,skip,1,0,0
594,139,419,view_detail,40,0,0
595,135,58,skip,2,1,2
596,525,323,skip,4,0,0
597,698,234,apply,25,1,1
598,412,420,skip,3,0,0
599,532,214,view_detail,39,0,2
600,751,457,like,27,1,1
601,987,433,skip,1,0,1
602,99,286,skip,5,0,1
603,480,73,view_detail,40,0,0
604,709,340,apply,48,0,0
605,700,166,skip,5,0,0
606,761,488,skip,4,0,1
607,159,230,skip,5,0,1
608,983,134,skip,3,0,1
609,132,266,save,41,0,0
610,728,421,skip,2,0,0
611,824,166,save,80,1,1
612,396,192,skip,4,1,1
613,751,67,skip,2,1,0
614,793,494,skip,5,1,0
615,498,200,view_detail,85,0,1
616,373,258,view_detail,64,0,1
617,355,444,like,84,1,1
618,946,349,skip,1,0,0
619,659,18,save,23,1,1
620,938,167,like,46,0,2
621,705,486,view_detail,72,0,1
622,588,72,skip,1,1,0
623,673,303,skip,3,0,1
624,483,116,view_detail,55,1,1
625,298,370,view_detail,56,1,1
626,810,336,skip,2,1,0
627,183,172,save,49,0,1
628,229,436,skip,1,0,1
629,137,265,skip,2,1,0
630,625,375,save,12,0,0
631,410,178,skip,4,0,0
632,489,447,apply,27,1,1
633,959,102,apply,76,1,0
634,138,156,skip,4,1,0
635,961,449,skip,5,1,0
636,781,305,skip,4,1,1
637,939,282,like,74,0,1
638,375,141,save,88,0,1
639,415,108,skip,4,0,0
640,542,484,like,50,0,1
641,187,310,apply,38,0,2
642,780,3,skip,1,0,2
643,789,80,view_detail,80,0,1
644,803,311,like,32,0,0
645,543,53,skip,3,0,1
646,579,47,save,78,2,0
647,52,238,view_detail,7,0,0
648,650,402,skip,4,1,0
649,44,318,view_detail,26,0,0
650,827,311,save,25,0,1
651,401,378,save,79,0,2
652,533,178,skip,1,0,0
653,369,493,like,59,0,0
654,98,2,skip,4,0,0
655,564,69,view_detail,46,0,0
656,607,416,skip,1,0,1
657,320,185,view_detail,80,0,1
658,511,219,skip,5,0,1
659,3,457,save,85,1,2
660,535,312,like,42,0,0
661,902,209,skip,5,0,0
662,6,88,view_detail,75,0,3
663,51,405,save,6,0,0
664,746,48,like,37,2,2
665,167,120,skip,5,0,0
666,951,489,skip,1,1,0
667,842,126,view_detail,51,1,0
668,616,31,view_detail,18,0,1
669,165,453,skip,3,1,1
670,180,379,view_detail,89,0,2
671,444,418,skip,1,1,1
672,896,351,view_detail,52,0,0
673,406,311,skip,4,0,0
674,574,470,skip,3,1,0
675,588,50,save,86,1,1
676,648,490,view_detail,27,0,2
677,971,373,like,19,0,0
678,691,417,like,22,0,0
679,910,446,like,88,1,0
680,202,117,skip,3,0,2
681,737,320,skip,1,0,1
682,749,367,skip,1,0,1
683,233,91,view_detail,30,0,2
684,577,329,apply,56,1,1
685,833,280,skip,4,0,0
686,976,309,skip,5,0,0
687,581,76,save,26,0,0
688,330,178,like,30,0,0
689,905,436,skip,4,0,0
690,235,4,like,88,0,1
691,515,294,skip,1,1,0
692,995,209,skip,4,1,1
693,890,146,view_detail,38,0,2
694,521,377,skip,1,0,1
695,447,69,skip,1,0,0
696,313,225,view_detail,89,1,0
697,886,56,skip,4,1,0
698,498,314,skip,4,0,1
699,73,142,skip,4,0,0
700,681,11,skip,2,1,1
701,74,261,skip,1,0,0
702,864,46,apply,78,1,1
703,526,207,like,25,0,1
704,24,28,skip,3,1,1
705,315,78,like,44,1,1
706,912,169,view_detail,66,0,0
707,466,146,like,39,0,1
708,579,257,view_detail,24,0,0
709,275,284,view_detail,82,0,2
710,962,363,view_detail,51,0,1
711,783,192,skip,4,0,1
712,319,301,skip,3,0,1
713,394,401,skip,5,0,1
714,578,219,save,88,0,1
715,377,199,apply,62,1,0
716,692,222,save,35,0,1
717,665,382,apply,87,0,1
718,503,330,save,30,1,0
719,614,268,skip,4,1,0
720,857,492,skip,4,0,0
721,779,419,view_detail,86,1,0
722,419,257,save,51,1,2
723,88,412,view_detail,31,1,2
724,100,296,view_detail,30,1,0
725,509,323,skip,4,0,1
726,63,317,skip,4,0,0
727,504,307,view_detail,58,1,1
728,275,253,skip,3,1,0
729,243,113,skip,1,0,0
730,971,248,skip,5,0,0
731,395,298,view_detail,53,0,0
732,18,297,view_detail,45,0,0
733,521,245,apply,23,1,0
734,418,27,skip,2,0,1
735,495,431,view_detail,69,2,0
736,105,105,like,58,0,1
737,137,138,view_detail,75,0,0
738,484,92,view_detail,44,1,0
739,617,19,view_detail,37,2,0
740,32,34,skip,3,0,1
741,215,114,apply,64,0,0
742,140,240,skip,2,0,1
743,166,266,save,44,1,0
744,388,256,view_detail,64,1,1
745,357,97,like,10,1,0
746,925,321,view_detail,84,0,1
747,708,445,skip,5,2,0
748,228,145,view_detail,25,0,0
749,727,356,skip,3,0,0
750,715,184,view_detail,11,0,0
751,177,426,view_detail,49,1,1
752,362,47,save,22,0,0
753,683,240,skip,3,0,0
754,104,291,view_detail,68,0,0
755,33,29,like,17,1,1
756,475,219,like,56,1,1
757,354,94,skip,1,0,1
758,77,419,like,21,0,0
759,83,159,skip,1,0,0
760,438,296,apply,36,1,0
761,997,396,skip,3,1,0
762,955,39,skip,5,0,0
763,692,254,skip,1,2,0
764,141,146,like,23,0,2
765,817,89,skip,5,0,1
766,779,440,skip,3,0,0
767,288,267,like,77,1,1
768,487,462,skip,4,0,1
769,58,438,like,55,1,2
770,351,237,save,32,1,0
771,252,115,skip,2,0,1
772,746,123,like,39,0,0
773,371,456,skip,2,0,2
774,753,117,skip,2,0,2
775,434,382,save,59,0,1
776,40,436,like,43,0,1
777,642,238,view_detail,29,0,0
778,277,60,view_detail,86,0,1
779,433,179,skip,2,0,0
780,831,233,view_detail,13,0,1
781,348,387,view_detail,35,0,1
782,486,326,view_detail,67,0,1
783,778,141,skip,5,0,0
784,120,263,skip,5,1,0
785,970,30,skip,2,0,0
786,410,443,like,17,0,1
787,515,426,skip,3,0,2
788,948,181,apply,45,0,0
789,331,63,skip,2,0,1
790,570,89,view_detail,59,0,0
791,440,457,like,66,0,1
792,463,188,skip,2,1,0
793,470,105,view_detail,13,1,0
794,139,203,save,17,0,0
795,63,371,save,57,0,0
796,106,337,skip,5,0,1
797,10,2,skip,2,2,0
798,86,350,skip,2,1,0
799,108,367,skip,4,0,0
800,695,172,skip,2,0,0
801,295,139,like,36,0,0
802,818,90,save,88,1,1
803,890,122,skip,2,0,1
804,206,425,skip,4,0,0
805,792,314,skip,5,0,0
806,504,482,skip,4,0,1
807,948,110,skip,5,0,0
808,354,229,like,10,0,2
809,353,34,view_detail,53,0,1
810,410,270,save,20,1,1
811,632,302,like,52,1,2
812,852,20,like,26,1,0
813,329,348,save,85,2,0
814,150,164,skip,1,0,0
815,86,474,skip,1,0,2
816,857,395,skip,5,0,0
817,307,348,apply,80,1,1
818,232,171,view_detail,75,1,0
819,202,374,skip,5,0,1
820,203,354,view_detail,29,0,0
821,419,148,skip,3,1,1
822,801,159,like,46,0,0
823,90,42,save,87,0,1
824,835,233,view_detail,75,1,1
825,400,156,save,32,0,0
826,484,433,skip,2,0,1
827,421,232,skip,2,0,0
828,356,275,save,68,1,0
829,690,278,view_detail,27,0,0
830,648,477,view_detail,73,0,1
831,88,329,skip,3,0,1
832,413,419,skip,1,0,0
833,995,234,save,22,0,0
834,692,480,like,86,1,1
835,553,169,skip,5,0,2
836,741,273,skip,3,1,1
837,799,31,skip,2,1,1
838,62,414,skip,2,0,1
839,972,74,save,13,0,0
840,939,326,skip,5,0,2
841,727,119,apply,36,1,0
842,909,156,save,42,0,1
843,220,356,skip,5,0,1
844,600,332,like,58,0,1
845,607,358,view_detail,87,1,1
846,43,450,apply,70,2,1
847,630,161,skip,5,0,1
848,569,425,apply,81,0,1
849,650,72,skip,3,0,0
850,532,42,apply,38,0,2
851,397,175,skip,2,0,0
852,700,123,skip,4,1,0
853,374,316,view_detail,87,0,0
854,825,450,view_detail,22,1,0
855,773,307,save,19,0,1
856,552,152,skip,1,0,0
857,877,217,save,37,1,1
858,485,125,view_detail,40,1,2
859,51,124,skip,4,1,1
860,374,21,view_detail,26,0,1
861,992,182,skip,5,0,1
862,300,431,skip,2,0,0
863,172,445,apply,66,0,2
864,721,286,apply,81,1,0
865,506,84,skip,3,0,1
866,816,155,skip,1,0,0
867,163,499,skip,5,0,1
868,226,52,apply,44,1,0
869,83,260,save,68,0,1
870,193,351,skip,5,0,0
871,195,498,skip,1,1,0
872,886,403,view_detail,37,0,1
873,27,341,like,82,1,1
874,107,336,skip,4,0,0
875,966,459,skip,1,0,1
876,68,25,apply,84,0,1
877,850,436,view_detail,10,2,0
878,142,484,skip,2,0,0
879,789,282,skip,1,0,0
880,165,126,skip,3,0,0
881,617,106,apply,76,1,0
882,396,199,apply,60,2,0
883,719,246,skip,2,0,1
884,886,71,skip,5,0,0
885,112,441,skip,1,0,0
886,895,408,skip,4,1,0
887,789,175,like,45,1,0
888,320,214,skip,5,0,2
889,360,223,like,42,0,0
890,331,257,save,19,1,1
891,745,333,view_detail,87,0,0
892,395,60,apply,47,1,0
893,347,132,skip,1,0,1
894,20,177,save,83,0,1
895,753,224,view_detail,83,0,2
896,824,312,skip,3,0,1
897,973,97,skip,2,0,0
898,519,375,skip,3,0,2
899,254,121,skip,1,0,1
900,596,480,view_detail,63,0,0
901,25,277,skip,4,0,0
902,344,170,save,65,0,0
903,454,276,view_detail,90,1,1
904,514,298,view_detail,45,0,1
905,530,24,view_detail,60,0,0
906,80,304,skip,1,0,1
907,444,404,skip,5,1,0
908,45,72,skip,4,1,1
909,140,464,skip,2,0,1
910,625,425,skip,3,0,1
911,278,151,view_detail,11,1,1
912,702,224,skip,3,1,0
913,30,240,like,21,0,0
914,273,344,skip,5,0,2
915,226,298,apply,7,0,0
