event_id,club_id,university_id,title,description,category,event_type,level,date,time,location,location_type,quota,target_interests,target_departments,target_goals,fee_type,language
11,3,yok-ankara,Finansal Okuryazarlık 101,"Finansal Okuryazarlık 101, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,competition,all,2026-08-23,17.00,Ankara Üniversitesi - Kampüs Etkinlik Alanı,onsite,75,finance;career,all,build-project;compete,free,tr
12,4,yok-bogazici,Ürün Yönetimi Vaka Çalışması,"Ürün Yönetimi Vaka Çalışması, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,conference,all,2026-08-25,11.30,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,hybrid,25,product;career,all,compete;social-impact,free,tr
13,3,yok-hacettepe,Mezunlarla Networking Akşamı,"Mezunlarla Networking Akşamı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,trip,all,2026-08-27,13.00,Çevrim içi,online,35,career;entrepreneurship,all,social-impact;learn,free,tr
14,4,yok-itu,CV ve LinkedIn Kliniği,"CV ve LinkedIn Kliniği, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,workshop,all,2026-08-29,15.00,İstanbul Teknik Üniversitesi - Kampüs Etkinlik Alanı,onsite,45,career;product,all,learn;network,paid,tr
15,3,yok-iyte,Sosyal Girişim Tasarımı,"Sosyal Girişim Tasarımı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,seminar,all,2026-08-31,17.30,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,hybrid,55,entrepreneurship;social-responsibility,all,network;career,free,tr
16,4,yok-yildiz,Kariyer Rotanı Tasarla,"Kariyer Rotanı Tasarla, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,networking,all,2026-09-02,11.00,Çevrim içi,online,65,career;wellbeing,all,career;build-project,free,tr
17,5,yok-bogazici,Tasarım Odaklı Düşünme,"Tasarım Odaklı Düşünme, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,competition,all,2026-09-04,13.00,Çevrim içi,online,75,ui-ux;product,all,career,free,tr
18,6,yok-hacettepe,Mobil Arayüz Tasarım Atölyesi,"Mobil Arayüz Tasarım Atölyesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,conference,all,2026-09-06,15.30,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,onsite,25,ui-ux;mobile-development,all,build-project,free,en
19,5,yok-itu,Kampüste Fotoğraf Yürüyüşü,"Kampüste Fotoğraf Yürüyüşü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,trip,all,2026-09-08,17.00,İstanbul Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,35,photography;culture,all,compete,free,tr
20,6,yok-iyte,Afiş Tasarım Laboratuvarı,"Afiş Tasarım Laboratuvarı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,workshop,all,2026-09-10,11.00,Çevrim içi,online,45,graphic-design;ui-ux,all,social-impact,free,tr
21,5,yok-yildiz,Doğaçlama Tiyatro Gecesi,"Doğaçlama Tiyatro Gecesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,seminar,all,2026-09-12,13.30,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,onsite,55,theatre;culture,all,learn,paid,tr
22,6,yok-ankara,Yeni Başlayanlar İçin Müzik,"Yeni Başlayanlar İçin Müzik, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,networking,all,2026-09-14,15.00,Ankara Üniversitesi - Kampüs Etkinlik Alanı,hybrid,65,music;wellbeing,all,network,free,tr
23,5,yok-bogazici,Portfolyo Değerlendirme Günü,"Portfolyo Değerlendirme Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,social,all,2026-09-16,17.00,Çevrim içi,online,75,graphic-design;career,all,career,free,tr
24,6,yok-hacettepe,Kısa Film Üretim Sprinti,"Kısa Film Üretim Sprinti, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",design-art,competition,all,2026-09-18,11.30,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,onsite,25,photography;theatre,all,build-project,free,tr
25,7,yok-iyte,Öğrenci Araştırmaları Konferansı,"Öğrenci Araştırmaları Konferansı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,trip,all,2026-09-20,13.00,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,onsite,35,engineering;natural-sciences,all,build-project;career,free,tr
26,8,yok-yildiz,Sağlıkta Yapay Zekâ Paneli,"Sağlıkta Yapay Zekâ Paneli, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,workshop,all,2026-09-22,15.00,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,health-sciences;ai,all,compete;build-project,free,tr
27,7,yok-ankara,Laboratuvar Güvenliği Eğitimi,"Laboratuvar Güvenliği Eğitimi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,seminar,all,2026-09-24,17.30,Çevrim içi,online,55,natural-sciences;engineering,all,social-impact;compete,free,en
28,8,yok-bogazici,Sosyal Bilimlerde Veri Analizi,"Sosyal Bilimlerde Veri Analizi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,networking,all,2026-09-26,11.00,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,onsite,65,social-sciences;data-science,all,learn;social-impact,paid,tr
29,7,yok-hacettepe,Robotik Proje Buluşması,"Robotik Proje Buluşması, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,social,all,2026-09-28,13.00,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,hybrid,75,engineering;ai,all,network;learn,free,tr
30,8,yok-itu,Psikoloji Araştırmaları Günü,"Psikoloji Araştırmaları Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,competition,all,2026-09-30,15.30,Çevrim içi,online,25,social-sciences;mental-health,all,career;network,free,tr
31,7,yok-iyte,İklim Bilimi Söyleşisi,"İklim Bilimi Söyleşisi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,conference,all,2026-10-02,17.00,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,onsite,35,natural-sciences;sustainability,all,build-project;career,free,tr
32,8,yok-yildiz,Akademik Poster Atölyesi,"Akademik Poster Atölyesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",science,trip,all,2026-10-04,11.00,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,natural-sciences;graphic-design,all,compete;build-project,free,tr
33,9,yok-bogazici,Gün Doğumu Koşu Grubu,"Gün Doğumu Koşu Grubu, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,seminar,all,2026-10-06,13.30,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,hybrid,55,sports;wellbeing,all,compete;career,free,tr
34,10,yok-hacettepe,Yeni Başlayanlar İçin Yoga,"Yeni Başlayanlar İçin Yoga, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,networking,all,2026-10-08,15.00,Çevrim içi,online,65,sports;mental-health,all,social-impact;build-project,free,tr
35,9,yok-itu,Kampüs Voleybol Turnuvası,"Kampüs Voleybol Turnuvası, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,social,all,2026-10-10,17.00,İstanbul Teknik Üniversitesi - Kampüs Etkinlik Alanı,onsite,75,sports;wellbeing,all,learn;compete,paid,tr
36,10,yok-iyte,Sınav Döneminde İyi Oluş,"Sınav Döneminde İyi Oluş, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,competition,all,2026-10-12,11.30,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,hybrid,25,mental-health;wellbeing,all,network;social-impact,free,en
37,9,yok-yildiz,Öğrenciler İçin Sağlıklı Beslenme,"Öğrenciler İçin Sağlıklı Beslenme, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,conference,all,2026-10-14,13.00,Çevrim içi,online,35,nutrition;wellbeing,all,career;learn,free,tr
38,10,yok-ankara,Masa Tenisi Tanışma Günü,"Masa Tenisi Tanışma Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,trip,all,2026-10-16,15.00,Ankara Üniversitesi - Kampüs Etkinlik Alanı,onsite,45,sports;wellbeing,all,build-project;network,free,tr
39,9,yok-bogazici,Nefes ve Odaklanma Atölyesi,"Nefes ve Odaklanma Atölyesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,workshop,all,2026-10-18,17.30,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,hybrid,55,mental-health;wellbeing,all,compete;career,free,tr
40,10,yok-hacettepe,Doğa Yürüyüşü Buluşması,"Doğa Yürüyüşü Buluşması, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",sports-health,seminar,all,2026-10-20,11.00,Çevrim içi,online,65,sports;sustainability,all,social-impact;build-project,free,tr
41,11,yok-iyte,Sosyal Etki Fikir Maratonu,"Sosyal Etki Fikir Maratonu, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,social,all,2026-10-22,13.00,Çevrim içi,online,75,social-responsibility;entrepreneurship,all,social-impact;career,free,tr
42,12,yok-yildiz,Kampüs Geri Dönüşüm Günü,"Kampüs Geri Dönüşüm Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,competition,all,2026-10-24,15.30,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,onsite,25,sustainability;volunteering,all,learn;build-project,paid,tr
43,11,yok-ankara,Çocuklarla Bilim Atölyesi,"Çocuklarla Bilim Atölyesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,conference,all,2026-10-26,17.00,Ankara Üniversitesi - Kampüs Etkinlik Alanı,hybrid,35,volunteering;natural-sciences,all,network;compete,free,tr
44,12,yok-bogazici,Erişilebilir Kampüs Tasarımı,"Erişilebilir Kampüs Tasarımı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,trip,all,2026-10-28,11.00,Çevrim içi,online,45,social-responsibility;ui-ux,all,career;social-impact,free,tr
45,11,yok-hacettepe,Sokak Hayvanları Destek Günü,"Sokak Hayvanları Destek Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,workshop,all,2026-10-30,13.30,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,onsite,55,volunteering;social-responsibility,all,build-project;learn,free,en
46,12,yok-itu,Sürdürülebilir Yaşam Semineri,"Sürdürülebilir Yaşam Semineri, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,seminar,all,2026-11-01,15.00,İstanbul Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,65,sustainability;wellbeing,all,compete;network,free,tr
47,11,yok-iyte,Toplumsal Fayda Proje Pazarı,"Toplumsal Fayda Proje Pazarı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,networking,all,2026-11-03,17.00,Çevrim içi,online,75,social-responsibility;product,all,social-impact;career,free,tr
48,12,yok-yildiz,Gönüllülük Deneyimi Paylaşımı,"Gönüllülük Deneyimi Paylaşımı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",social-impact,social,all,2026-11-05,11.30,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,onsite,25,volunteering;career,all,learn;build-project,free,tr
49,13,yok-bogazici,İngilizce Konuşma Kulübü,"İngilizce Konuşma Kulübü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,conference,all,2026-11-07,13.00,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,onsite,35,languages;international-community,all,learn;career,paid,tr
50,14,yok-hacettepe,Uluslararası Öğrenci Buluşması,"Uluslararası Öğrenci Buluşması, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,trip,all,2026-11-09,15.00,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,international-community;culture,all,network;build-project,free,tr
51,13,yok-itu,İstanbul Kültür Rotası,"İstanbul Kültür Rotası, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,workshop,all,2026-11-11,17.30,Çevrim içi,online,55,travel;culture,all,career;compete,free,tr
52,14,yok-iyte,Dünya Mutfakları Gecesi,"Dünya Mutfakları Gecesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,seminar,all,2026-11-13,11.00,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,onsite,65,culture;international-community,all,build-project;social-impact,free,tr
53,13,yok-yildiz,Erasmus Deneyim Paylaşımı,"Erasmus Deneyim Paylaşımı, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,networking,all,2026-11-15,13.00,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,75,travel;languages,all,compete;learn,free,tr
54,14,yok-ankara,Kampüs Kitap Sohbeti,"Kampüs Kitap Sohbeti, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,social,all,2026-11-17,15.30,Çevrim içi,online,25,culture;languages,all,social-impact;network,free,en
55,13,yok-bogazici,İşaret Diline Giriş,"İşaret Diline Giriş, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,competition,all,2026-11-19,17.00,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,onsite,35,languages;social-responsibility,all,learn;career,free,tr
56,14,yok-hacettepe,Şehirde Müze Keşfi,"Şehirde Müze Keşfi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",culture-community,conference,all,2026-11-21,11.00,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,travel;culture,all,network;build-project,paid,tr
