kullanici_id,etkinlik_id,zaman_farki_dk,is_swiped_right,ekranda_kalma_suresi_sn,kampus_id,bolum_kodu,sinif,kullanici_guven_puani,dinamik_ilgi_spor,dinamik_ilgi_oyun,dinamik_ilgi_akademik,etkinlik_kategorisi,etkinlik_turu,olusturan_guven_puani,etkinlik_ucreti,zaman_lokasyon
956,22,689,0,2,1,7,3,4.68,0.2876,0.241,0.4714,3,1,5.0,0,0
277,89,396,0,1,3,2,2,4.91,0.6097,0.2744,0.1159,2,0,3.16,0,1
161,49,1162,0,1,1,9,1,4.86,0.356,0.4267,0.21730000000000002,2,1,5.0,1,1
460,59,839,0,1,2,3,3,4.61,0.3499,0.2153,0.4348,2,0,3.25,1,0
314,170,878,1,15,3,1,1,4.78,0.4324,0.1612,0.4064,3,0,3.47,0,0
22,188,823,1,13,1,1,1,4.64,0.284,0.2123,0.5037,2,0,4.73,1,0
253,15,1153,0,4,1,3,3,4.88,0.2436,0.1919,0.5645,2,1,5.0,1,0
748,190,49,1,5,3,1,2,4.61,0.0056,0.1388,0.8556,2,0,4.46,0,0
857,190,789,1,6,3,10,1,4.82,0.3393,0.5523,0.1084,2,0,4.46,0,0
561,175,293,0,2,2,4,1,4.61,0.0823,0.7193,0.1984,3,0,3.64,0,1
475,190,536,0,2,3,5,2,4.65,0.0094,0.0355,0.9551,2,0,4.46,0,0
59,51,311,0,3,2,4,3,4.62,0.4314,0.0798,0.4888,1,0,3.1,0,1
511,108,537,0,2,1,10,4,4.59,0.1449,0.366,0.4891,1,0,3.91,0,0
682,55,639,0,1,1,6,1,4.84,0.0362,0.5834,0.3804,3,0,4.81,1,1
476,64,234,0,1,2,8,1,4.86,0.5249,0.0008,0.4743,2,0,4.07,1,1
700,131,1233,0,2,3,4,1,4.61,0.3237,0.5142,0.1621,2,0,4.11,1,0
976,51,605,0,1,2,5,2,4.76,0.2847,0.2015,0.5138,1,0,3.1,0,1
783,135,94,1,8,1,2,2,4.5,0.4568,0.1808,0.3624,1,0,4.56,1,1
190,21,327,1,13,3,7,3,4.52,0.1718,0.7003,0.12789999999999999,3,1,5.0,0,0
958,73,225,0,1,2,3,4,4.85,0.5134,0.3912,0.0954,1,0,3.06,1,0
687,167,967,1,12,1,9,2,4.72,0.5525,0.4138,0.0337,3,0,3.56,1,0
958,18,890,0,2,2,3,4,4.85,0.5134,0.3912,0.0954,2,1,5.0,0,0
563,132,11,0,4,3,6,2,4.95,0.6155,0.1605,0.224,2,0,4.96,1,1
876,89,1353,0,1,2,8,3,4.88,0.726,0.0204,0.2536,2,0,3.16,0,1
567,60,1036,0,1,2,1,3,4.98,0.4415,0.1067,0.4518,2,0,4.53,0,1
244,14,35,0,1,1,7,3,4.9,0.0875,0.0878,0.8247,2,1,5.0,1,1
832,9,447,1,9,2,2,1,4.62,0.2596,0.3803,0.3601,1,1,5.0,0,0
505,90,1244,1,6,2,2,1,4.72,0.9294,0.0055,0.0651,1,0,3.9,0,1
131,53,441,1,12,2,1,1,4.6,0.8236,0.0941,0.0823,1,0,3.68,1,0
485,130,653,1,14,2,1,1,4.62,0.6987,0.2907,0.0106,1,0,4.06,0,0
819,84,595,1,12,2,2,2,4.55,0.541,0.0934,0.3656,3,0,3.59,0,0
647,92,229,0,4,3,6,3,4.59,0.8307,0.0966,0.0727,3,0,3.03,1,0
21,111,344,1,14,2,1,4,4.84,0.1912,0.123,0.6858,1,0,3.16,0,1
841,188,1104,0,4,1,5,2,4.56,0.7022,0.086,0.2118,2,0,4.73,1,0
167,199,1377,0,1,3,10,1,4.7,0.4007,0.4684,0.13090000000000002,1,0,4.28,0,1
274,172,1420,0,2,2,8,3,4.61,0.2005,0.7973,0.0022,3,0,3.25,1,0
388,8,1314,0,1,2,7,3,4.67,0.0724,0.2141,0.7135,3,1,5.0,1,0
601,175,989,1,6,2,3,2,4.89,0.6387,0.2725,0.0888,3,0,3.64,0,1
316,35,1152,1,8,1,4,3,4.8,0.0045,0.0598,0.9357,3,1,5.0,1,1
14,81,909,1,15,1,8,2,4.6,0.4162,0.0934,0.4904,2,0,4.34,1,1
242,164,1383,0,3,2,1,2,4.51,0.3337,0.211,0.4553,2,0,4.64,0,0
777,50,527,0,1,3,7,4,4.98,0.7428,0.0385,0.2187,2,1,5.0,1,0
346,104,1337,0,3,2,2,1,4.93,0.4113,0.1434,0.4453,2,0,3.09,0,1
565,132,75,1,13,2,8,1,4.69,0.4521,0.1407,0.4072,2,0,4.96,1,1
898,2,196,0,2,3,9,2,4.72,0.5879,0.0065,0.4056,3,1,5.0,0,1
340,134,29,0,1,1,10,1,4.72,0.2509,0.7388,0.0103,2,0,3.21,0,0
92,54,706,0,3,1,2,2,4.74,0.6338,0.1857,0.1805,1,0,4.91,1,1
367,106,1021,0,2,3,2,3,4.62,0.7551,0.2152,0.0297,2,0,3.9,1,0
956,4,16,0,2,1,7,3,4.68,0.2876,0.241,0.4714,2,1,5.0,1,1
455,54,805,0,3,2,10,3,4.97,0.296,0.303,0.40099999999999997,1,0,4.91,1,1
428,191,1429,1,12,3,6,1,4.91,0.5936,0.4016,0.0048,2,0,3.23,0,0
509,146,940,0,4,3,9,3,4.76,0.5128,0.2287,0.2585,3,0,3.56,1,0
776,44,967,0,1,1,10,4,4.97,0.6429,0.3567,0.00039999999999999996,1,1,5.0,1,0
943,162,1101,1,13,1,10,3,4.55,0.6641,0.051,0.2849,2,0,4.37,0,1
35,190,229,0,1,1,6,3,4.65,0.1088,0.2048,0.6864,2,0,4.46,0,0
206,14,962,1,9,3,6,3,4.96,0.8676,0.0216,0.1108,2,1,5.0,1,1
81,95,1321,1,7,1,1,1,4.93,0.3374,0.368,0.2946,2,0,4.81,1,1
932,48,715,0,3,2,2,4,4.82,0.1693,0.3236,0.5071,1,1,5.0,0,1
562,15,984,0,4,1,4,1,4.72,0.4488,0.0369,0.5143,2,1,5.0,1,0
872,200,573,1,9,2,4,3,4.82,0.7347,0.2068,0.0585,3,0,4.4,0,0
388,190,615,1,7,2,7,3,4.67,0.0724,0.2141,0.7135,2,0,4.46,0,0
2,40,326,0,3,1,1,2,4.85,0.7291,0.1355,0.1354,1,1,5.0,1,1
390,82,1387,0,4,3,1,3,4.9,0.6726,0.0061,0.3213,2,0,4.63,1,0
566,111,875,0,4,3,9,3,4.91,0.2918,0.1081,0.6001,1,0,3.16,0,1
106,53,359,0,1,3,5,2,4.69,0.6244,0.2758,0.0998,1,0,3.68,1,0
772,24,324,1,10,1,4,3,4.54,0.1927,0.7849,0.0224,3,1,5.0,1,0
822,154,1350,0,1,2,2,1,4.76,0.4137,0.4759,0.1104,2,0,3.98,1,0
477,188,165,1,6,1,1,3,4.68,0.2792,0.5546,0.1662,2,0,4.73,1,0
703,124,798,0,3,1,1,3,4.63,0.4198,0.5103,0.0699,3,0,4.18,0,0
402,41,455,0,4,3,10,1,4.85,0.1543,0.2648,0.5809,1,1,5.0,0,0
730,157,1177,0,4,3,10,2,4.54,0.3544,0.3789,0.2667,1,0,4.89,0,1
556,15,1151,0,1,3,2,2,4.56,0.3965,0.0486,0.5549,2,1,5.0,1,0
162,45,193,0,2,3,4,1,4.64,0.2363,0.21,0.5537,3,1,5.0,1,1
202,65,627,1,6,2,6,2,4.71,0.1107,0.1532,0.7361,3,0,4.72,1,0
958,89,530,0,1,2,3,4,4.85,0.5134,0.3912,0.0954,2,0,3.16,0,1
996,71,1034,1,12,1,8,4,4.77,0.8187,0.0127,0.1686,2,0,4.17,1,1
270,9,92,1,15,1,2,1,4.56,0.7831,0.1807,0.0362,1,1,5.0,0,0
863,88,139,0,1,3,6,1,4.94,0.0497,0.7656,0.1847,1,0,4.53,0,1
816,129,481,1,13,1,7,1,4.89,0.4107,0.3424,0.2469,2,0,4.21,1,0
271,136,449,0,2,1,3,2,4.52,0.6814,0.297,0.0216,3,0,3.34,1,1
456,63,1357,0,2,1,9,2,4.84,0.0372,0.3314,0.6314,2,0,4.64,0,1
462,139,869,1,9,3,3,1,4.94,0.1695,0.6071,0.2234,3,0,4.38,0,1
727,81,340,0,2,2,5,2,4.6,0.5224,0.317,0.1606,2,0,4.34,1,1
252,136,1076,0,4,1,4,4,4.75,0.1908,0.0702,0.739,3,0,3.34,1,1
702,163,466,0,1,1,4,3,4.88,0.3782,0.5008,0.121,1,0,3.37,0,1
296,163,718,0,1,2,6,2,4.53,0.1288,0.6929,0.1783,1,0,3.37,0,1
725,33,799,1,9,2,6,4,4.77,0.0806,0.8114,0.108,3,1,5.0,0,0
720,123,475,0,1,2,3,1,4.6,0.1776,0.2486,0.5738,3,0,4.11,0,1
749,5,401,0,4,3,1,3,4.53,0.7069,0.2691,0.024,3,1,5.0,1,0
338,41,605,0,4,1,9,3,4.91,0.6005,0.394,0.0055,1,1,5.0,0,0
879,28,932,0,2,1,9,4,4.94,0.2179,0.1916,0.5905,3,1,5.0,1,1
53,135,997,1,8,2,6,4,4.56,0.3954,0.5084,0.0962,1,0,4.56,1,1
792,72,922,1,5,3,6,2,4.95,0.2807,0.5583,0.16099999999999998,2,0,3.53,1,1
922,12,821,0,1,3,8,4,4.53,0.152,0.0369,0.8111,2,1,5.0,0,0
217,162,657,0,1,3,6,4,4.67,0.6659,0.2952,0.0389,2,0,4.37,0,1
764,33,598,0,3,1,8,4,4.94,0.1464,0.6327,0.2209,3,1,5.0,0,0
188,48,1177,1,7,3,8,2,4.69,0.5976,0.3658,0.0366,1,1,5.0,0,1
380,151,514,0,4,1,10,2,4.57,0.3057,0.293,0.4013,3,0,3.15,0,1
493,62,1030,0,1,3,4,3,4.57,0.3521,0.3067,0.3412,1,0,3.65,0,1
41,37,500,0,3,1,8,3,4.91,0.3836,0.5273,0.0891,1,1,5.0,1,1
157,99,717,0,2,3,3,2,4.9,0.0709,0.9256,0.0034999999999999996,3,0,3.64,0,0
15,172,1142,0,4,2,8,4,4.78,0.0128,0.8777,0.1095,3,0,3.25,1,0
813,104,601,0,4,2,5,1,4.87,0.2894,0.2473,0.4633,2,0,3.09,0,1
65,35,666,0,2,2,10,1,4.63,0.6195,0.2693,0.1112,3,1,5.0,1,1
857,193,468,0,3,3,10,1,4.82,0.3393,0.5523,0.1084,3,0,4.33,0,0
839,101,161,1,13,2,7,2,4.88,0.2726,0.722,0.0054,2,0,4.6,0,0
521,175,270,1,9,1,9,1,4.53,0.1962,0.1216,0.6822,3,0,3.64,0,1
344,131,1080,0,3,2,7,4,4.54,0.6514,0.0139,0.3347,2,0,4.11,1,0
129,1,228,0,3,1,9,3,4.84,0.4042,0.495,0.1008,2,1,5.0,1,1
648,5,849,0,1,2,4,1,4.7,0.1282,0.4842,0.3876,3,1,5.0,1,0
472,142,149,0,4,2,8,1,4.94,0.0164,0.2119,0.7716999999999999,2,0,3.16,1,1
63,103,1070,0,4,2,1,1,4.86,0.5207,0.2482,0.2311,2,0,3.84,0,1
139,27,1168,0,1,3,10,3,4.58,0.5147,0.3065,0.1788,2,1,5.0,1,1
499,137,632,0,1,2,3,1,4.53,0.3089,0.3684,0.3227,2,0,3.89,1,1
593,15,1364,0,4,2,5,4,4.79,0.5727,0.2829,0.1444,2,1,5.0,1,0
392,90,413,0,3,2,8,1,4.85,0.1445,0.4827,0.3728,1,0,3.9,0,1
675,42,520,0,1,3,1,4,4.66,0.8224,0.016,0.1616,2,1,5.0,0,0
419,124,1368,1,7,1,2,4,4.92,0.5953,0.2895,0.1152,3,0,4.18,0,0
289,179,387,0,3,1,2,4,4.5,0.3412,0.5464,0.1124,2,0,3.99,1,1
379,63,275,0,3,2,9,3,4.83,0.3668,0.0253,0.6079,2,0,4.64,0,1
773,96,353,1,11,3,5,3,4.79,0.2343,0.366,0.3997,3,0,4.39,1,1
490,52,1090,1,13,3,2,2,4.59,0.1276,0.4998,0.3726,3,0,4.2,1,1
231,96,1103,1,7,1,9,1,4.65,0.2365,0.3351,0.4284,3,0,4.39,1,1
41,132,598,0,3,1,8,3,4.91,0.3836,0.5273,0.0891,2,0,4.96,1,1
28,151,1226,1,6,3,8,1,4.64,0.6762,0.2783,0.0455,3,0,3.15,0,1
135,143,558,1,9,1,1,1,4.71,0.2477,0.6165,0.1358,2,0,3.6,0,0
201,171,113,0,4,2,10,1,4.55,0.262,0.4623,0.2757,2,0,3.25,0,0
840,29,1115,0,2,3,9,4,4.75,0.2094,0.3761,0.4145,3,1,5.0,0,0
780,36,141,0,3,2,6,1,4.74,0.4067,0.1139,0.4794,2,1,5.0,0,1
930,13,1313,1,11,3,2,2,4.93,0.0258,0.3556,0.6186,3,1,5.0,0,1
33,160,730,1,11,3,5,1,4.96,0.559,0.4216,0.0194,1,0,3.93,0,1
48,71,589,0,3,3,7,3,4.85,0.2172,0.5148,0.268,2,0,4.17,1,1
503,187,411,0,4,1,2,3,4.73,0.3381,0.2971,0.3648,1,0,4.67,1,1
407,86,377,0,4,1,4,3,4.96,0.2418,0.0726,0.6856,2,0,4.93,0,0
574,28,1408,0,2,2,5,4,4.72,0.4915,0.2759,0.2326,3,1,5.0,1,1
728,66,1176,0,2,1,6,3,4.76,0.3764,0.0531,0.5705,3,0,3.43,1,1
805,170,751,0,3,1,5,2,4.84,0.4759,0.02,0.5041,3,0,3.47,0,0
99,45,627,1,6,3,10,2,4.91,0.058,0.3151,0.6269,3,1,5.0,1,1
684,62,1343,0,1,1,7,1,4.98,0.0626,0.4503,0.4871,1,0,3.65,0,1
872,185,1393,0,2,2,4,3,4.82,0.7347,0.2068,0.0585,3,0,3.22,0,1
726,134,995,0,1,2,10,3,4.84,0.5721,0.1033,0.3246,2,0,3.21,0,0
987,28,703,0,4,1,7,3,4.57,0.1467,0.7538,0.0995,3,1,5.0,1,1
547,28,462,0,2,2,5,2,4.61,0.5903,0.3159,0.09380000000000001,3,1,5.0,1,1
961,108,12,0,1,3,5,2,5.0,0.157,0.7526,0.0904,1,0,3.91,0,0
739,44,1180,1,9,1,1,1,4.87,0.3783,0.106,0.5157,1,1,5.0,1,0
613,84,477,1,14,3,4,2,4.65,0.0431,0.1298,0.8271000000000001,3,0,3.59,0,0
943,30,939,1,7,1,10,3,4.55,0.6641,0.051,0.2849,1,1,5.0,0,1
462,190,401,0,2,3,3,1,4.94,0.1695,0.6071,0.2234,2,0,4.46,0,0
643,75,808,1,6,1,6,1,4.84,0.3451,0.2551,0.3998,2,0,4.24,1,0
769,128,177,1,12,3,9,1,4.72,0.8181,0.1542,0.0277,3,0,4.82,1,1
5,92,1365,1,13,2,9,3,4.65,0.8026,0.1072,0.0902,3,0,3.03,1,0
218,190,57,0,3,2,3,4,4.7,0.2549,0.2925,0.4526,2,0,4.46,0,0
503,129,448,0,2,1,2,3,4.73,0.3381,0.2971,0.3648,2,0,4.21,1,0
767,121,203,0,3,1,2,4,4.93,0.0532,0.1924,0.7544,1,0,3.68,1,1
398,27,738,0,1,1,4,4,4.59,0.3849,0.1872,0.4279,2,1,5.0,1,1
871,190,202,0,2,1,4,3,4.97,0.8642,0.0018,0.134,2,0,4.46,0,0
795,121,1354,0,4,3,8,2,4.93,0.7239,0.1643,0.1118,1,0,3.68,1,1
393,116,363,0,4,1,4,2,4.59,0.4949,0.037,0.4681,3,0,4.06,0,1
207,3,892,0,3,3,6,4,5.0,0.5089,0.4278,0.0633,3,1,5.0,0,1
15,103,454,1,12,2,8,4,4.78,0.0128,0.8777,0.1095,2,0,3.84,0,1
858,198,356,0,1,1,7,2,4.64,0.6957,0.1141,0.1902,2,0,4.24,0,1
554,200,216,0,2,3,2,1,4.96,0.2652,0.4105,0.3243,3,0,4.4,0,0
892,155,972,1,10,2,10,2,4.53,0.0802,0.7975,0.1223,3,0,3.57,0,1
461,137,555,0,1,2,10,1,4.63,0.0429,0.1192,0.8379,2,0,3.89,1,1
691,62,887,1,14,2,5,1,4.89,0.5951,0.3084,0.0965,1,0,3.65,0,1
575,165,23,1,13,1,4,4,4.73,0.2195,0.0647,0.7158,1,0,3.86,1,1
864,51,155,0,2,3,6,3,4.98,0.2715,0.375,0.3535,1,0,3.1,0,1
743,172,1210,0,4,1,9,3,4.62,0.2208,0.5619,0.2173,3,0,3.25,1,0
241,152,249,1,9,2,4,3,4.84,0.912,0.0655,0.0225,2,0,4.33,1,0
564,59,749,0,4,3,4,2,4.57,0.6191,0.0822,0.2987,2,0,3.25,1,0
96,118,805,1,15,1,6,2,4.92,0.0253,0.4335,0.5412,3,0,4.59,0,0
900,160,134,1,5,3,10,1,4.65,0.1118,0.4448,0.4434,1,0,3.93,0,1
734,96,321,0,1,2,10,3,4.76,0.1098,0.8633,0.0269,3,0,4.39,1,1
485,180,390,0,2,2,1,1,4.62,0.6987,0.2907,0.0106,1,0,3.91,1,1
407,113,434,0,2,1,4,3,4.96,0.2418,0.0726,0.6856,1,0,3.95,1,1
231,62,1046,0,4,1,9,1,4.65,0.2365,0.3351,0.4284,1,0,3.65,0,1
749,186,873,0,1,3,1,3,4.53,0.7069,0.2691,0.024,1,0,3.77,1,1
655,52,1149,0,3,3,10,4,5.0,0.5788,0.153,0.2682,3,0,4.2,1,1
171,12,1103,1,12,3,8,4,4.69,0.2268,0.1292,0.644,2,1,5.0,0,0
541,39,858,1,5,1,4,2,4.93,0.4134,0.041,0.5456,3,1,5.0,0,0
36,130,51,0,1,3,8,1,4.63,0.1289,0.2376,0.6335,1,0,4.06,0,0
525,131,176,0,3,3,2,2,4.73,0.3744,0.5571,0.0685,2,0,4.11,1,0
160,113,870,0,1,3,10,3,4.6,0.1604,0.6924,0.1472,1,0,3.95,1,1
839,101,253,1,10,2,7,2,4.88,0.2726,0.722,0.0054,2,0,4.6,0,0
699,113,966,0,4,2,9,2,4.99,0.122,0.5674,0.3106,1,0,3.95,1,1
243,184,1270,0,1,3,9,4,4.67,0.0767,0.8085,0.1148,2,0,3.4,0,0
86,81,739,0,2,2,6,2,4.66,0.1711,0.5785,0.2504,2,0,4.34,1,1
796,187,1130,1,13,2,6,3,4.59,0.3869,0.2057,0.4074,1,0,4.67,1,1
578,113,1217,0,2,2,3,2,4.83,0.4285,0.3281,0.24339999999999998,1,0,3.95,1,1
682,2,1340,0,2,1,6,1,4.84,0.0362,0.5834,0.3804,3,1,5.0,0,1
557,130,302,0,1,2,10,1,4.87,0.0537,0.7383,0.208,1,0,4.06,0,0
574,54,548,1,14,2,5,4,4.72,0.4915,0.2759,0.2326,1,0,4.91,1,1
953,87,716,0,2,1,6,1,4.52,0.7656,0.1218,0.1126,2,0,4.84,1,1
646,129,779,0,2,2,9,4,4.93,0.4427,0.0852,0.4721,2,0,4.21,1,0
796,147,268,1,8,2,6,3,4.59,0.3869,0.2057,0.4074,3,0,3.37,1,1
28,126,1194,1,12,3,8,1,4.64,0.6762,0.2783,0.0455,2,0,4.45,1,1
620,130,1010,1,15,1,3,2,4.86,0.1639,0.4899,0.3462,1,0,4.06,0,0
556,53,551,0,2,3,2,2,4.56,0.3965,0.0486,0.5549,1,0,3.68,1,0
340,172,1316,0,1,1,10,1,4.72,0.2509,0.7388,0.0103,3,0,3.25,1,0
798,160,1165,0,2,3,5,3,4.79,0.203,0.626,0.171,1,0,3.93,0,1
958,198,1170,0,3,2,3,4,4.85,0.5134,0.3912,0.0954,2,0,4.24,0,1
331,160,314,0,3,1,3,4,4.63,0.5165,0.3814,0.1021,1,0,3.93,0,1
640,68,184,0,4,3,7,3,4.82,0.4663,0.2577,0.276,1,0,3.17,0,1
506,183,713,0,4,1,6,4,4.78,0.0023,0.3128,0.6849,2,0,4.06,0,1
348,184,128,0,1,1,9,3,4.86,0.5336,0.1309,0.33549999999999996,2,0,3.4,0,0
473,123,1311,1,15,3,1,2,4.71,0.052,0.1686,0.7794,3,0,4.11,0,1
231,145,1277,1,6,1,9,1,4.65,0.2365,0.3351,0.4284,3,0,3.66,1,0
190,38,700,1,6,3,7,3,4.52,0.1718,0.7003,0.12789999999999999,2,1,5.0,0,1
225,24,386,0,3,1,6,2,4.83,0.0617,0.5485,0.3898,3,1,5.0,1,0
385,69,1254,0,3,2,10,3,4.51,0.3624,0.3455,0.2921,3,0,4.29,0,1
377,116,271,1,7,3,10,2,4.65,0.2272,0.1466,0.6262,3,0,4.06,0,1
283,98,811,0,4,1,10,3,4.81,0.0136,0.88,0.1064,2,0,3.55,0,1
958,198,415,1,14,2,3,4,4.85,0.5134,0.3912,0.0954,2,0,4.24,0,1
633,139,198,0,3,1,1,1,4.67,0.5965,0.1298,0.2737,3,0,4.38,0,1
628,144,1347,0,4,3,2,4,4.57,0.4582,0.2243,0.3175,3,0,4.34,0,1
973,97,1080,0,1,3,7,2,4.56,0.3573,0.4978,0.1449,2,0,3.19,1,1
745,124,831,1,14,2,2,2,4.56,0.4362,0.3577,0.2061,3,0,4.18,0,0
259,187,1227,0,3,3,2,3,4.77,0.7906,0.0805,0.12890000000000001,1,0,4.67,1,1
359,70,628,0,3,3,10,3,4.89,0.8083,0.1026,0.0891,2,0,4.53,1,1
710,93,604,0,4,2,2,2,4.96,0.0631,0.7429,0.19399999999999998,3,0,4.23,0,1
456,3,1162,1,8,1,9,2,4.84,0.0372,0.3314,0.6314,3,1,5.0,0,1
411,148,1081,0,4,3,5,1,4.63,0.8176,0.0952,0.0872,3,0,4.0,0,1
649,187,1010,1,14,2,5,2,4.97,0.5429,0.2544,0.2027,1,0,4.67,1,1
318,164,71,1,10,1,9,4,4.9,0.2921,0.0515,0.6564,2,0,4.64,0,0
677,147,911,0,3,2,1,4,4.66,0.1877,0.6725,0.1398,3,0,3.37,1,1
225,90,594,0,2,1,6,2,4.83,0.0617,0.5485,0.3898,1,0,3.9,0,1
819,195,1396,0,1,2,2,2,4.55,0.541,0.0934,0.3656,1,0,4.76,1,1
234,147,600,0,4,1,5,1,4.64,0.4464,0.5174,0.0362,3,0,3.37,1,1
684,148,514,0,1,1,7,1,4.98,0.0626,0.4503,0.4871,3,0,4.0,0,1
664,96,84,1,5,1,7,4,4.84,0.4461,0.4948,0.0591,3,0,4.39,1,1
975,199,994,1,8,2,6,2,4.57,0.7188,0.0849,0.1963,1,0,4.28,0,1
827,52,1067,0,2,2,10,4,4.51,0.0655,0.7761,0.1584,3,0,4.2,1,1
374,161,839,1,13,3,2,2,4.53,0.0254,0.4029,0.5717,1,0,4.64,1,0
672,168,606,0,2,1,6,4,4.54,0.1042,0.528,0.3678,3,0,3.54,1,1
608,128,810,1,15,3,5,3,4.99,0.0503,0.3708,0.5789,3,0,4.82,1,1
472,39,133,0,2,2,8,1,4.94,0.0164,0.2119,0.7716999999999999,3,1,5.0,0,0
233,82,1419,1,8,3,10,3,4.62,0.247,0.6314,0.1216,2,0,4.63,1,0
692,104,1089,0,3,3,5,2,4.89,0.3356,0.3379,0.3265,2,0,3.09,0,1
113,129,290,0,3,2,10,4,4.81,0.5099,0.3206,0.1695,2,0,4.21,1,0
830,11,376,1,6,3,4,2,4.86,0.5944,0.2652,0.1404,1,1,5.0,1,0
497,185,769,0,3,1,2,4,4.95,0.3621,0.4383,0.1996,3,0,3.22,0,1
442,178,467,1,6,3,4,4,4.5,0.0565,0.8498,0.0937,3,0,4.83,0,1
564,151,1237,0,1,3,4,2,4.57,0.6191,0.0822,0.2987,3,0,3.15,0,1
268,159,1172,0,4,2,4,2,5.0,0.0846,0.4387,0.4767,2,0,4.17,1,0
510,42,471,1,8,2,10,4,4.86,0.1327,0.5873,0.28,2,1,5.0,0,0
807,99,149,0,4,1,7,3,4.54,0.0451,0.7046,0.2503,3,0,3.64,0,0
386,7,88,0,3,1,8,4,4.62,0.3779,0.0467,0.5754,2,1,5.0,0,0
387,144,1348,0,2,1,7,3,4.52,0.5362,0.0077,0.4561,3,0,4.34,0,1
113,90,396,0,4,2,10,4,4.81,0.5099,0.3206,0.1695,1,0,3.9,0,1
613,112,790,0,2,3,4,2,4.65,0.0431,0.1298,0.8271000000000001,1,0,3.38,0,0
625,60,1428,0,2,3,5,3,4.87,0.1825,0.4757,0.3418,2,0,4.53,0,1
952,113,1106,0,2,1,8,2,4.82,0.755,0.0324,0.2126,1,0,3.95,1,1
81,2,1310,0,1,1,1,1,4.93,0.3374,0.368,0.2946,3,1,5.0,0,1
699,129,1406,1,9,2,9,2,4.99,0.122,0.5674,0.3106,2,0,4.21,1,0
113,48,865,1,11,2,10,4,4.81,0.5099,0.3206,0.1695,1,1,5.0,0,1
2,140,1294,1,5,1,1,2,4.85,0.7291,0.1355,0.1354,3,0,4.75,1,1
642,197,1316,1,13,3,3,3,4.79,0.2074,0.7465,0.0461,2,0,3.63,1,0
220,37,24,0,4,1,6,3,4.81,0.1932,0.4446,0.3622,1,1,5.0,1,1
566,160,956,1,15,3,9,3,4.91,0.2918,0.1081,0.6001,1,0,3.93,0,1
